file_name,block_name,variant,avg_color_srgb,avg_color_linear,category,family,material,is_transparent,is_solid,detail_form,detail_flammable,detail_interactive
acacia_door_bottom.png,Acacia Door,bottom,"(117, 65, 41)","(45, 12, 4)",wood,acacia,wood,False,True,door,True,True
acacia_door_top.png,Acacia Door,top,"(120, 68, 43)","(48, 13, 5)",wood,acacia,wood,False,True,door,True,True
acacia_leaves.png,Acacia Leaves,base,"(86, 85, 85)","(23, 22, 22)",wood,acacia,wood,False,True,block,True,False
acacia_log.png,Acacia Log,base,"(103, 96, 86)","(34, 29, 23)",wood,acacia,wood,False,True,pillar,True,False
acacia_log_top.png,Acacia Log,top,"(150, 88, 55)","(79, 24, 8)",wood,acacia,wood,False,True,pillar,True,False
acacia_planks.png,Acacia Planks,base,"(168, 90, 50)","(101, 25, 7)",wood,acacia,wood,False,True,block,True,False
acacia_sapling.png,Acacia Sapling,base,"(51, 51, 10)","(7, 7, 0)",wood,acacia,wood,False,True,block,True,False
acacia_trapdoor.png,Acacia Trapdoor,base,"(119, 66, 39)","(47, 13, 4)",wood,acacia,wood,False,True,trapdoor,True,True
activator_rail.png,Activator Rail,base,"(70, 53, 45)","(14, 8, 5)",other,other,other,False,True,rail,False,False
activator_rail_on.png,Activator Rail,on,"(87, 53, 45)","(23, 8, 5)",other,other,other,False,True,rail,False,False
allium.png,Allium,base,"(23, 20, 27)","(1, 0, 1)",other,other,other,False,True,block,False,False
amethyst_block.png,Amethyst Block,base,"(133, 97, 191)","(60, 30, 135)",stone,amethyst,stone,False,True,block,False,False
amethyst_cluster.png,Amethyst Cluster,base,"(89, 69, 113)","(25, 14, 42)",stone,amethyst,stone,False,True,block,False,False
ancient_debris_side.png,Ancient Debris,side,"(95, 63, 55)","(29, 11, 8)",ore,ore,ore,False,True,block,False,False
ancient_debris_top.png,Ancient Debris,top,"(94, 66, 58)","(28, 13, 9)",ore,ore,ore,False,True,block,False,False
andesite.png,Andesite,base,"(136, 136, 136)","(63, 63, 63)",stone,andesite,stone,False,True,block,False,False
anvil.png,Anvil,base,"(68, 68, 68)","(13, 13, 13)",functional,functional,mixed,False,True,block,False,True
anvil_top.png,Anvil,top,"(45, 45, 45)","(5, 5, 5)",functional,functional,mixed,False,True,block,False,True
attached_melon_stem.png,Attached Melon Stem,base,"(18, 18, 18)","(0, 0, 0)",wood,wood,wood,False,True,pillar,True,False
attached_pumpkin_stem.png,Attached Pumpkin Stem,base,"(17, 17, 17)","(0, 0, 0)",wood,wood,wood,False,True,pillar,True,False
azalea_leaves.png,Azalea Leaves,base,"(69, 88, 34)","(14, 24, 3)",plant,plant,plant,False,True,block,True,False
azalea_plant.png,Azalea Plant,base,"(67, 81, 31)","(13, 20, 2)",other,other,other,False,True,block,False,False
azalea_side.png,Azalea,side,"(56, 70, 27)","(9, 14, 1)",other,other,other,False,True,block,False,False
azalea_top.png,Azalea,top,"(101, 124, 47)","(33, 52, 6)",other,other,other,False,True,block,False,False
azure_bluet.png,Azure Bluet,base,"(28, 34, 21)","(1, 3, 1)",other,other,other,False,True,block,False,False
bamboo_block.png,Bamboo Block,base,"(127, 144, 57)","(55, 72, 9)",wood,bamboo,wood,False,True,block,True,False
bamboo_block_top.png,Bamboo Block,top,"(139, 141, 62)","(67, 69, 11)",wood,bamboo,wood,False,True,block,True,False
bamboo_door_bottom.png,Bamboo Door,bottom,"(199, 178, 84)","(147, 115, 22)",wood,bamboo,wood,False,True,door,True,True
bamboo_door_top.png,Bamboo Door,top,"(155, 139, 66)","(85, 67, 13)",wood,bamboo,wood,False,True,door,True,True
bamboo_fence.png,Bamboo Fence,base,"(138, 124, 59)","(66, 52, 10)",wood,bamboo,wood,False,True,fence,True,False
bamboo_fence_gate.png,Bamboo Fence Gate,base,"(154, 139, 65)","(84, 67, 12)",wood,bamboo,wood,False,True,fence_gate,True,False
bamboo_fence_gate_particle.png,Bamboo Fence Gate Particle,base,"(206, 185, 84)","(159, 125, 22)",wood,bamboo,wood,False,True,fence_gate,True,False
bamboo_fence_particle.png,Bamboo Fence Particle,base,"(206, 185, 84)","(159, 125, 22)",wood,bamboo,wood,False,True,fence,True,False
bamboo_large_leaves.png,Bamboo Large Leaves,base,"(52, 85, 18)","(7, 22, 0)",wood,bamboo,wood,False,True,block,True,False
bamboo_mosaic.png,Bamboo Mosaic,base,"(190, 170, 78)","(133, 104, 18)",wood,bamboo,wood,False,True,block,True,False
bamboo_planks.png,Bamboo Planks,base,"(193, 173, 80)","(138, 108, 19)",wood,bamboo,wood,False,True,block,True,False
bamboo_singleleaf.png,Bamboo Singleleaf,base,"(4, 6, 1)","(0, 0, 0)",wood,bamboo,wood,False,True,block,True,False
